PERATURAN,BAB,PASAL
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,I KETENTUAN UMUM PRESIDEN REPUBLIK," 1  Dalam Undang-undang ini yang dimaksud dengan : 1. Hak Asasi Manusia adalah seperangkat hak yang melekat pada hakikat dan keberadaan manusia sebagai mahkluk Tuhan Yang Maha Esa dan merupakan anugerah-Nya yang wajib dihormati, dijunjung tinggi dan dilindungi oleh negara, hukum, Pemerintah, dan setiap orang demi kehormatan serta perlindungan harkat dan martabat manusia; 2. Kewajiban dasar manusia adalah seperangkat kewajiban yang apabila tidak dilaksanakan, tidak memungkinkan terlaksana dan tegaknya hak asasi manusia. 3. Diskriminasi adalah setiap pembatasan, pelecehan, atau pengucilan yang langsung ataupun tak langsung didasarkan pada pembedaan manusia atas dasar agama, suku, ras, etnik, kelompok, golongan, status sosial, status ekonomi, jenis kelamin, bahasa, keyakinan politik, yang berakibat pengurangan, penyimpangan atau penghapusan pengakuan, pelaksanaan atau penggunaan hak asasi manusia dan kebebasan dasar dalam kehidupan baik individual maupun kolektif dalam bidang politik, ekonomi, hukum, sosial, budaya, dan aspek kehidupan lainnya. 4. Penyiksaan adalah setiap perbuatan yang dilakukan dengan sengaja, sehingga menimbulkan rasa sakit atau penderitaan yang hebat, baik jasmasi maupun rohani, pada seseorang untuk memperoleh pengakuan atau keterangan dari seseorang atau dari orang ketiga, dengan menghukumnya atas suatu perbuatan yang telah dilakukan atau diduga telah dilakukan oleh seseorang atau orang ketiga, atau untuk suatu alasan yang didasarkan pada setiap bentuk diskriminasi, apabila rasa sakit atau penderitaan tersebut ditimbulkan oleh, atas hasutan dari, dengan persetujuan, atau sepengetahuan siapapun dan atau pejabat publik. 5. Anak adalah setiap manusia yang berusia di bawah 18 (delapan belas) tahun dan belum menikah, termasuk anak yang masih dalam kandungan apabila hal tersebut adalah demi kepentingannya. PRESIDEN REPUBLIK INDONESIA   -3- 6. Pelanggaran hak asasi manusia adalah setiap perbuatan seseorang atau kelompok orang termasuk aparat negara baik disengaja maupun tidak disengaja atau kelalaian, membatasi, dan atau mencabut hak asasi manusia seseorang atau kelompok orang yang dijamin oleh Undang-undang ini, dan tidak mendapatkan, atau dikhawatirkan tidak akan memperoleh penyelesaian hukum yang adil dan benar, berdasarkan mekanisme hukum yang berlaku. 7. Komisi Nasional Hak Asasi Manusia yang selanjutnya disebut Komnas HAM adalah lembaga mandiri yang kedudukannya setingkat dengan lembaga negara lainnya yang berfungsi melaksanakan pengkajian, penelitian, penyuluhan, pemantauan, dan mediasi hak asasi manusia.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,II ASAS ASAS DASAR PRESIDEN," 2  Negara Republik Indonesia mengakui dan menjunjung tinggi hak asasi manusia dan kebebasan dasar manusia sebagai hak yang secara kodrati melekat pada dan tidak terpisahkan dari manusia, yang harus dilindungi, dihormati, dan ditegakkan demi peningkatan martabat kemanusiaan, kesejahteraan, kebahagiaan, dan kecerdasan serta keadilan.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,II ASAS ASAS DASAR PRESIDEN," 3  (1) Setiap orang dilahirkan bebas dengan harkat dan martabat manusia yang sama dan sederajat serta dikaruniai akal dan hati murni untuk hidup bermasyarakat, berbangsa, dan bernegara dalam semangat persaudaraan. (2) Setiap orang berhak atas pengakuan, jaminan, perlindungan dan perlakuan hukum yang adil serta mendapat kepastian hukum dan perlakuan yang sama di depan hukum. (3) Setiap orang berhak atas perlindungan hak asasi manusia dan kebebasan dasar manusia, tanpa diskriminasi.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,II ASAS ASAS DASAR PRESIDEN," 4  Hak untuk hidup, hak untuk tidak disiksa, hak kebebasan pribadi, pikiran dan hati nurani, hak beragama, hak untuk tidak diperbudak, hak untuk diakui sebagai pribadi dan persamaan dihadapan hukum, dan hak untuk tidak dituntut atas dasar hukum yang berlaku surut adalah hak asasi manusia yang tidak dapat dikurangi dalam keadaan apapun dan oleh siapapun. PRESIDEN REPUBLIK INDONESIA   -4- "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,II ASAS ASAS DASAR PRESIDEN, 5  (1) Setiap orang diakui sebagai manusia pribadi yang berhak menuntut dan memperoleh perlakuan serta perlindungan yang sama sesuai dengan martabat kemanusiaannya di depan hukum. (2) Setiap orang berhak mendapat bantuan dan perlindungan yang adil dari pengadilan yang obyektif dan tidak berpihak. (3) Setiap orang yang termasuk kelompok masyarakat yang rentan berhak memperoleh perlakuan dan perlindungan lebih berkenaan dengan kekhususannya.   
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,II ASAS ASAS DASAR PRESIDEN," 6  (1) Dalam rangka penegakan hak asasi manusia, perbedaan dan kebutuhan dalam masyarakat hukum adat harus diperhatikan dan dilindungi oleh hukum, masyarakat, dan Pemerintah. (2) Identitas budaya masyarakat hukum adat, termasuk hak atas tanah ulayat dilindungi, selaras dengan perkembangan zaman.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,II ASAS ASAS DASAR PRESIDEN, 7  (1) Setiap orang berhak untuk menggunakan semua upaya hukum nasional dan forum internasional atas semua pelanggaran hak asasi manusia yang dijamin oleh hukum Indonesia dan hukum internasional mengenai hak asasi manusia yang telah diterima negara Republik Indonesia. (2) Ketentuan hukum internasional yang telah diterima negara Republik Indonesia yang menyangkut hak asasi manusia terutama menjadi tanggung jawab Pemerintah.  
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,II ASAS ASAS DASAR PRESIDEN," 8  Perlindungan, pemajuan, penegakan, dan pemenuhan hak asasi manusia terutama menjadi tanggung jawab Pemerintah.     "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 9 PRESIDEN REPUBLIK INDONESIA   -5-  (1) Setiap orang berhak untuk hidup, mempertahankan hidup dan meningkatkan taraf kehidupannya. (2) Setiap orang berhak tenteram, aman, damai, bahagia, sejahtera lahir dan batin. (3) Setiap orang berhak atas lingkungan hidup yang baik dan sehat.  Bagian Kedua Hak Berkeluarga dan Melanjutkan Keturunan "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 10  (1) Setiap orang berhak membentuk suatu keluarga dan melanjutkan keturunan melalui perkawinan yang sah. (2) Perkawinan yang sah hanya dapat berlangsung atas kehendak bebas calon suami dan calon istri yang bersangkutan, sesuai dengan ketentuan peraturan perundang-undangan.  Bagian Ketiga Hak Mengembangkan Diri "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN, 11  Setiap orang berhak atas pemenuhan kebutuhan dasarnya untuk tumbuh dan berkembang secara layak.   
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 12  Setiap orang berhak atas perlindungan bagi pengembangan pribadinya, untuk memperoleh pendidikan, mencerdaskan dirinya, dan meningkatkan kualitas hidupnya agar menjadi manusia yang beriman, bertaqwa, bertanggung jawab, berakhlak mulia, bahagia, dan sejahtera sesuai dengan hak asasi manusia.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 13  Setiap orang berhak untuk mengembangkan dan memperoleh manfaat dari ilmu pengetahuan dan teknologi, seni dan budaya sesuai dengan martabat manusia demi kesejahteraan pribadinya, bangsa, dan umat manusia.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 14  (1) Setiap orang berhak untuk berkomunikasi dan memperoleh informasi yang diperlukan untuk mengembangkan pribadinya dan lingkungan sosialnya. (2) Setiap orang berhak untuk mencari, memperoleh, memiliki, menyimpan, mengolah, dan menyampaikan informasi dengan menggunakan segala jenis sarana yang tersedia. PRESIDEN REPUBLIK INDONESIA   -6-  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 15  Setiap orang berhak untuk memperjuangkan hak pengembangan dirinya, baik secara pribadi maupun kolektif, untuk membangun masyarakat, bangsa, dan negaranya.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 16  Setiap orang berhak untuk melakukan pekerjaan sosial dan kebijakan, mendirikan organisasi untuk itu, termasuk menyelenggarakan pendidikan dan pengajaran, serta menghimpun dana untuk maksud tersebut dengan ketentuan peraturan perundang-undangan.  Bagian Keempat Hak Memperoleh Keadilan "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 17  Setiap orang, tanpa diskriminasi, berhak untuk memperoleh keadilan dengan mengajukan permohonan, pengaduan, dan gugatan, baik dalam perkara pidana, perdata, maupun administrasi serta diadili melalui proses peradilan yang bebas dan tidak memihak, sesuai dengan hukum acara yang menjamin pemeriksaan yang obyektif oleh hakim yang jujur dan adil untuk memperoleh putusan yang adil dan benar.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 18  (1) Setiap orang yang ditangkap, ditahan, dan dituntut karena disangka melakukan sesuatu tindak pidana berhak dianggap tidak bersalah, sampai dibuktikan kesalahannya secara sah dalam suatu sidang pengadilan dan diberikan segala jaminan hukum yang diperlukan untuk pembelaannya, sesuai dengan ketentuan perundang-undangan. (2) Setiap orang tidak boleh dituntut untuk dihukum atau dijatuhi pidana, kecuali berdasarkan suatu peraturan perundang-undangan yang sudah ada sebelum tindak pidana ini dilakukannya. (3) Setiap ada perubahan dalam perturan perundang-undangan, maka berlaku ketentuan yang paling menguntungkan bagi tersangka. (4) Setiap orang yang diperiksa berhak mendapatkan bantuan hukum sejak saat penyidikan sampai adanya putusan pengadilan yang telah memperoleh kekuatan hukum tetap. (5) Setiap orang tidak dapat dituntut untuk kedua kalinya dalam perkara yang sama atas suatu perbuatan yang telah memperoleh putusan pengadilan yang berkekuatan hukum tetap.   "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN, 19 PRESIDEN REPUBLIK INDONESIA   -7-  (1) Tiada suatu pelanggaran atau kejahatan apapun diancam dengan hukuman perampasan seluruh harta kekayaan milik yang bersalah. (2) Tidak seorangpun atas putusan pengadilan boleh dipidana penjara atau kurungan berdasarkan atas alasan ketidakmampuan untuk memenuhi suatu kewajiban dalam perjanjian utang piutang.  Bagian Kelima Hak Atas Kebebasan Pribadi 
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 20  (1) Tidak seorangpun boleh diperbudak atau diperhamba. (2) Perbudakan atau perhambaan, perdagangan budak, perdagangan wanita, dan segala perbuatan berupa apapun yang tujuannya serupa, dilarang.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN," 21  Setiap orang berhak atas keutuhan pribadi, baik rohani maupun jasmani, dan karena itu tidak boleh menjadi obyek penelitian tanpa persetujuan darinya.  "
1475231474-uu-nomor-39-tahun-1999-tentang- H9FVDS .,III HAK ASASI MANUSIA DAN, 22  (1) Setiap orang bebas memeluk agamanya masing-masing dan untuk beribadat menurut agamanya dan kepercayaannya itu. (2) Negara menjamin kemerdekaan setiap orang memeluk agamanya dan kepercayaannya itu.  
